movie_title,content_rating,genres,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,lead_actor,lead_director,lead_author
Percy Jackson & the Olympians: The Lightning Thief,PG,Action & Adventure,2010-02-12,2015-11-25,119,20th Century Fox,Rotten,49,149,Spilled,53,254421,43,73,76,Logan Lerman,Chris Columbus,Craig Titley
Please Give,R,Comedy,2010-04-30,2012-09-04,90,Sony Pictures Classics,Certified-Fresh,87,142,Upright,64,11574,44,123,19,Catherine Keener,Nicole Holofcener,Nicole Holofcener
10,R,Comedy,1979-10-05,2014-07-24,122,Waner Bros.,Fresh,67,24,Spilled,53,14684,2,16,8,Dudley Moore,Blake Edwards,Blake Edwards
12 Angry Men (Twelve Angry Men),NR,Classics,1957-04-13,2017-01-13,95,Criterion Collection,Certified-Fresh,100,54,Upright,97,105386,6,54,0,Martin Balsam,Sidney Lumet,Reginald Rose
"20,000 Leagues Under The Sea",G,Action & Adventure,1954-01-01,2016-06-10,127,Disney,Fresh,89,27,Upright,74,68918,5,24,3,James Mason,Richard Fleischer,Earl Felton
"10,000 B.C.",PG-13,Action & Adventure,2008-03-07,2013-06-22,109,Warner Bros. Pictures,Rotten,8,149,Spilled,37,411140,37,12,137,Steven Strait,Roland Emmerich,Harald Kloser
The 39 Steps,NR,Action & Adventure,1935-08-01,2017-01-12,80,Gaumont British Distributors,Certified-Fresh,96,51,Upright,86,23890,8,49,2,Robert Donat,Alfred Hitchcock,Alma Reville
3:10 to Yuma,NR,Classics,1957-08-07,2012-04-16,92,Columbia Pictures,Fresh,96,28,Upright,79,9243,6,27,1,Glenn Ford,Delmer Daves,Halsted Welles
Charly (A Heartbeat Away),PG,Comedy,2002-09-27,2017-05-22,103,Excel Entertainment,Rotten,20,10,Upright,87,4819,0,2,8,Heather Beers,Adam Thomas Anderegg,Jack Weyland
Abraham Lincoln,NR,Classics,1930-11-08,2013-12-03,97,United Artists,Fresh,82,11,Spilled,40,457,4,9,2,Walter Huston,D.W. Griffith,Gerrit J. Lloyd
Dark Water,PG-13,Art House & International,2002-01-19,2017-03-23,100,Toho Company Ltd,Fresh,80,15,Upright,66,21475,3,12,3,Hitomi Kuroki,Hideo Nakata,Hideo Hakata
The Accused,R,Drama,1988-10-14,2016-10-04,110,Paramount Pictures,Fresh,91,22,Upright,79,20821,1,20,2,Jodie Foster,Jonathan Kaplan,Tom Topor
The Lost City,R,Drama,2005-09-03,2017-03-23,143,Magnolia Pictures,Rotten,25,83,Upright,64,25944,37,21,62,Andy Garcia,Andy Garcia,G. Cabrera Infante
The Breaking Point,NR,Drama,1950-10-06,2016-08-25,97,Warner Home Video,Fresh,100,10,Upright,86,335,1,10,0,John Garfield,Michael Curtiz,Ranald MacDougall
Adam's Rib,NR,Classics,1949-11-18,2008-05-01,101,MGM Home Entertainment,Fresh,96,28,Upright,86,10563,6,27,1,Spencer Tracy,George Cukor,Garson Kanin
The Bridge of San Luis Rey,PG,Art House & International,2005-06-10,2014-07-24,124,Fine Line Features,Rotten,4,24,Spilled,35,1935,13,1,23,Gabriel Byrne,Mary McGuckian,Mary McGuckian
The Prowler (Cost of Living ),PG,Drama,1951-12-03,2016-12-05,92,VCI Entertainment,Fresh,100,18,Upright,86,286,6,18,0,Van Heflin,Joseph Losey,Robert Thoeren
Criminal,R,Drama,2004-09-24,2016-04-27,87,Warner Bros. Pictures,Fresh,69,124,Spilled,57,6711,35,85,39,John C. Reilly,Greggory Jacobs,Gregory Jacobs
The Adventures of Mark Twain,G,Action & Adventure,1985-03-01,2017-02-04,86,Eureka Entertainment Ltd,Fresh,80,5,Upright,82,1046,1,4,1,James Whitmore,Will Vinton,Susan Shadburne
Deep Blue,G,Documentary,2005-06-17,2016-12-07,90,Miramax Flims,Fresh,67,52,Upright,80,4692,18,35,17,Pierce Brosnan,Andy Byatt,Alastair Fothergill
The Adventures of Robin Hood,PG,Action & Adventure,1938-05-14,2014-01-23,102,Warner Bros.,Certified-Fresh,100,48,Upright,89,33946,8,48,0,Errol Flynn,Michael Curtiz,Norman Reilly Raine
